ID,gk,ram,rb,rcb,rcm,rdm,rf,rm,rs,rw,rwb
208448,20.0,82.0,56.0,46.0,77.0,60.0,80.0,82.0,75.0,82.0,62.0
207865,19.0,66.0,82.0,84.0,72.0,82.0,62.0,69.0,62.0,64.0,81.0
207566,19.0,74.0,77.0,81.0,81.0,83.0,70.0,74.0,69.0,70.0,77.0
205600,22.0,71.0,81.0,83.0,75.0,81.0,70.0,72.0,71.0,70.0,80.0
204485,20.0,83.0,56.0,43.0,76.0,57.0,81.0,83.0,76.0,83.0,62.0
203376,21.0,68.0,79.0,84.0,73.0,81.0,67.0,69.0,69.0,66.0,78.0
201942,19.0,85.0,65.0,60.0,81.0,67.0,84.0,84.0,83.0,83.0,68.0
200888,20.0,74.0,79.0,84.0,79.0,84.0,73.0,74.0,73.0,70.0,78.0
199715,22.0,82.0,55.0,48.0,76.0,58.0,82.0,83.0,80.0,82.0,60.0
199482,83.0,34.0,32.0,32.0,33.0,32.0,32.0,34.0,31.0,33.0,32.0
198176,20.0,61.0,77.0,83.0,68.0,79.0,59.0,62.0,59.0,58.0,75.0
198009,83.0,34.0,29.0,27.0,32.0,30.0,31.0,32.0,28.0,32.0,29.0
197061,19.0,67.0,77.0,83.0,73.0,80.0,65.0,67.0,64.0,64.0,76.0
193474,18.0,75.0,81.0,82.0,78.0,83.0,74.0,75.0,71.0,73.0,81.0
192629,22.0,82.0,55.0,47.0,73.0,56.0,83.0,80.0,83.0,82.0,59.0
192387,19.0,78.0,59.0,56.0,70.0,59.0,81.0,77.0,84.0,78.0,61.0
192366,19.0,60.0,77.0,83.0,66.0,78.0,59.0,60.0,65.0,58.0,74.0
191180,21.0,83.0,70.0,65.0,83.0,74.0,82.0,83.0,79.0,82.0,73.0
189513,18.0,81.0,69.0,66.0,83.0,75.0,79.0,79.0,76.0,78.0,72.0
189358,20.0,83.0,58.0,45.0,78.0,61.0,79.0,81.0,73.0,79.0,63.0
189125,22.0,83.0,77.0,72.0,83.0,78.0,81.0,83.0,79.0,82.0,80.0
189068,20.0,73.0,56.0,59.0,69.0,59.0,77.0,70.0,83.0,70.0,57.0
188377,20.0,75.0,84.0,81.0,76.0,80.0,74.0,78.0,74.0,75.0,83.0
188152,21.0,83.0,63.0,51.0,79.0,63.0,81.0,81.0,76.0,80.0,66.0
187936,22.0,75.0,78.0,83.0,80.0,83.0,74.0,73.0,74.0,71.0,77.0
186547,19.0,66.0,80.0,84.0,71.0,81.0,63.0,65.0,64.0,62.0,77.0
185239,21.0,64.0,79.0,83.0,69.0,79.0,61.0,65.0,61.0,61.0,76.0
185020,19.0,82.0,62.0,50.0,75.0,58.0,82.0,83.0,81.0,83.0,66.0
184826,19.0,82.0,80.0,77.0,83.0,83.0,79.0,81.0,76.0,79.0,81.0
184431,13.0,83.0,55.0,42.0,77.0,58.0,83.0,83.0,77.0,83.0,61.0
184144,18.0,83.0,63.0,52.0,78.0,63.0,81.0,83.0,77.0,82.0,67.0
181783,20.0,78.0,74.0,75.0,77.0,74.0,79.0,79.0,83.0,77.0,74.0
180819,20.0,83.0,75.0,71.0,83.0,77.0,81.0,83.0,79.0,81.0,77.0
179784,19.0,64.0,78.0,83.0,68.0,78.0,62.0,65.0,65.0,62.0,75.0
178562,19.0,83.0,72.0,68.0,83.0,77.0,79.0,81.0,73.0,80.0,75.0
178005,83.0,37.0,31.0,32.0,36.0,34.0,33.0,35.0,32.0,32.0,31.0
177683,83.0,37.0,31.0,31.0,38.0,35.0,33.0,35.0,30.0,32.0,32.0
177388,22.0,83.0,61.0,53.0,81.0,64.0,82.0,83.0,79.0,83.0,66.0
177358,18.0,76.0,80.0,80.0,80.0,83.0,74.0,76.0,72.0,73.0,80.0
176769,19.0,83.0,57.0,52.0,77.0,60.0,83.0,81.0,83.0,81.0,60.0
173771,21.0,76.0,83.0,82.0,77.0,81.0,75.0,78.0,76.0,76.0,83.0
170481,21.0,66.0,76.0,83.0,72.0,79.0,64.0,65.0,68.0,62.0,74.0
167905,20.0,77.0,83.0,80.0,78.0,81.0,78.0,81.0,76.0,79.0,83.0
163587,83.0,40.0,33.0,30.0,40.0,36.0,36.0,38.0,33.0,36.0,33.0
162240,24.0,82.0,78.0,80.0,83.0,82.0,80.0,81.0,79.0,79.0,79.0
161956,17.0,83.0,74.0,68.0,83.0,77.0,81.0,83.0,76.0,81.0,76.0
159147,18.0,69.0,80.0,83.0,73.0,80.0,69.0,70.0,70.0,68.0,78.0
158963,21.0,78.0,80.0,77.0,82.0,83.0,74.0,77.0,70.0,74.0,81.0
146748,83.0,32.0,28.0,29.0,32.0,31.0,29.0,30.0,27.0,28.0,29.0
146562,19.0,83.0,71.0,66.0,83.0,74.0,81.0,83.0,77.0,82.0,74.0
142754,18.0,71.0,81.0,83.0,76.0,83.0,67.0,70.0,66.0,67.0,80.0
139869,19.0,83.0,60.0,49.0,80.0,64.0,80.0,81.0,74.0,81.0,65.0
139068,17.0,83.0,55.0,43.0,78.0,58.0,82.0,83.0,78.0,83.0,61.0
53302,19.0,73.0,80.0,83.0,78.0,83.0,70.0,71.0,71.0,68.0,78.0
24630,83.0,34.0,32.0,33.0,33.0,32.0,31.0,32.0,30.0,30.0,31.0
20775,21.0,83.0,52.0,39.0,76.0,54.0,81.0,83.0,76.0,83.0,59.0
20289,22.0,83.0,75.0,77.0,83.0,80.0,82.0,80.0,82.0,79.0,76.0
5479,83.0,37.0,31.0,31.0,35.0,31.0,35.0,36.0,33.0,34.0,31.0
230621,83.0,36.0,30.0,31.0,35.0,33.0,33.0,34.0,31.0,33.0,31.0
222492,19.0,81.0,60.0,51.0,73.0,57.0,82.0,82.0,81.0,83.0,64.0
219809,21.0,73.0,79.0,81.0,77.0,82.0,71.0,73.0,67.0,70.0,78.0
219683,19.0,80.0,77.0,79.0,82.0,80.0,80.0,79.0,80.0,78.0,78.0
216594,22.0,83.0,57.0,50.0,76.0,60.0,82.0,82.0,79.0,82.0,62.0
216451,20.0,82.0,77.0,74.0,82.0,79.0,80.0,81.0,76.0,80.0,78.0
215785,19.0,81.0,57.0,47.0,73.0,56.0,82.0,82.0,80.0,83.0,61.0
213331,19.0,58.0,74.0,81.0,65.0,76.0,55.0,58.0,53.0,54.0,71.0
212404,22.0,82.0,59.0,48.0,76.0,60.0,82.0,82.0,77.0,83.0,64.0
212188,20.0,79.0,57.0,48.0,70.0,55.0,81.0,81.0,83.0,81.0,61.0
211575,20.0,81.0,74.0,76.0,82.0,80.0,78.0,78.0,77.0,76.0,75.0
211300,20.0,81.0,63.0,57.0,74.0,61.0,82.0,82.0,83.0,83.0,67.0
208808,19.0,82.0,56.0,47.0,74.0,56.0,82.0,82.0,79.0,83.0,61.0
208618,19.0,82.0,66.0,55.0,79.0,65.0,81.0,83.0,76.0,83.0,70.0
208421,20.0,82.0,80.0,80.0,83.0,81.0,80.0,81.0,79.0,79.0,80.0
207863,19.0,61.0,77.0,82.0,67.0,79.0,57.0,62.0,59.0,58.0,75.0
207664,19.0,77.0,51.0,46.0,68.0,52.0,79.0,77.0,82.0,78.0,55.0
207471,20.0,82.0,61.0,58.0,79.0,67.0,81.0,80.0,78.0,80.0,65.0
207410,16.0,83.0,73.0,67.0,83.0,76.0,79.0,82.0,73.0,80.0,76.0
206652,82.0,29.0,27.0,28.0,28.0,28.0,27.0,29.0,26.0,28.0,28.0
206545,18.0,82.0,72.0,70.0,82.0,75.0,81.0,80.0,78.0,79.0,74.0
205452,21.0,60.0,77.0,81.0,65.0,76.0,59.0,63.0,59.0,60.0,75.0
204970,19.0,82.0,60.0,51.0,76.0,60.0,82.0,82.0,79.0,83.0,64.0
204639,21.0,54.0,73.0,82.0,61.0,75.0,53.0,55.0,54.0,52.0,69.0
204525,21.0,63.0,76.0,82.0,68.0,78.0,63.0,63.0,64.0,61.0,74.0
204277,19.0,77.0,79.0,75.0,80.0,82.0,74.0,78.0,68.0,75.0,81.0
203551,19.0,82.0,82.0,78.0,82.0,81.0,81.0,83.0,81.0,82.0,82.0
203483,20.0,80.0,74.0,72.0,81.0,76.0,80.0,79.0,80.0,78.0,74.0
202857,20.0,82.0,60.0,50.0,74.0,59.0,82.0,82.0,79.0,82.0,65.0
202652,22.0,82.0,66.0,55.0,76.0,63.0,81.0,83.0,76.0,82.0,69.0
202651,21.0,84.0,54.0,39.0,77.0,55.0,82.0,84.0,76.0,83.0,60.0
202477,22.0,82.0,57.0,43.0,74.0,55.0,81.0,83.0,76.0,83.0,62.0
202335,20.0,69.0,78.0,82.0,73.0,79.0,68.0,70.0,69.0,67.0,77.0
201862,19.0,68.0,79.0,82.0,71.0,79.0,67.0,70.0,69.0,67.0,78.0
200949,19.0,81.0,65.0,57.0,76.0,64.0,80.0,82.0,77.0,82.0,69.0
200104,20.0,83.0,56.0,45.0,75.0,56.0,83.0,83.0,82.0,83.0,61.0
199845,20.0,60.0,74.0,82.0,67.0,78.0,58.0,58.0,59.0,54.0,71.0
199503,19.0,77.0,73.0,75.0,82.0,81.0,74.0,74.0,71.0,71.0,75.0
198164,22.0,82.0,69.0,61.0,82.0,71.0,82.0,82.0,76.0,82.0,73.0
197965,23.0,82.0,73.0,66.0,82.0,76.0,82.0,82.0,77.0,82.0,76.0
195093,22.0,76.0,54.0,54.0,69.0,57.0,79.0,74.0,82.0,76.0,57.0
194794,17.0,82.0,60.0,54.0,78.0,64.0,82.0,82.0,80.0,82.0,65.0
193698,82.0,30.0,29.0,30.0,31.0,30.0,29.0,30.0,27.0,29.0,29.0
193532,18.0,70.0,79.0,82.0,75.0,82.0,66.0,70.0,64.0,66.0,78.0
193469,18.0,60.0,76.0,82.0,67.0,79.0,58.0,61.0,58.0,58.0,74.0
193348,21.0,83.0,66.0,57.0,79.0,68.0,81.0,82.0,76.0,81.0,70.0
193082,16.0,81.0,74.0,67.0,77.0,71.0,81.0,82.0,78.0,82.0,76.0
190483,20.0,82.0,59.0,48.0,75.0,59.0,81.0,82.0,78.0,82.0,63.0
190456,19.0,74.0,82.0,79.0,75.0,78.0,73.0,76.0,71.0,75.0,82.0
189560,20.0,74.0,75.0,82.0,79.0,82.0,74.0,72.0,76.0,70.0,75.0
188942,21.0,73.0,79.0,83.0,76.0,82.0,72.0,73.0,73.0,71.0,79.0
188803,19.0,82.0,64.0,56.0,77.0,65.0,82.0,82.0,78.0,82.0,67.0
187754,18.0,82.0,65.0,57.0,78.0,66.0,82.0,82.0,77.0,82.0,69.0
187072,19.0,82.0,72.0,69.0,81.0,75.0,82.0,81.0,81.0,81.0,74.0
186627,13.0,79.0,53.0,49.0,71.0,55.0,80.0,78.0,82.0,79.0,57.0
186561,19.0,81.0,75.0,71.0,82.0,77.0,79.0,81.0,77.0,79.0,77.0
186153,83.0,34.0,29.0,29.0,34.0,32.0,30.0,33.0,28.0,29.0,30.0
184484,21.0,82.0,68.0,61.0,80.0,69.0,80.0,82.0,79.0,81.0,71.0
184267,21.0,82.0,58.0,47.0,77.0,59.0,81.0,82.0,75.0,82.0,63.0
184200,22.0,81.0,66.0,65.0,79.0,70.0,80.0,82.0,80.0,81.0,70.0
183711,19.0,79.0,80.0,78.0,82.0,82.0,77.0,79.0,75.0,77.0,81.0
183574,19.0,82.0,60.0,53.0,80.0,64.0,82.0,82.0,81.0,82.0,65.0
183497,82.0,30.0,29.0,30.0,32.0,30.0,29.0,30.0,28.0,28.0,29.0
183376,21.0,67.0,75.0,81.0,73.0,81.0,65.0,66.0,65.0,63.0,75.0
182494,82.0,40.0,34.0,33.0,40.0,37.0,34.0,39.0,31.0,35.0,35.0
181786,20.0,65.0,77.0,82.0,71.0,79.0,63.0,67.0,64.0,63.0,76.0
181291,20.0,83.0,76.0,72.0,82.0,76.0,82.0,82.0,80.0,81.0,77.0
179847,20.0,54.0,72.0,82.0,63.0,77.0,53.0,55.0,58.0,50.0,69.0
178509,20.0,77.0,55.0,57.0,73.0,61.0,78.0,74.0,82.0,74.0,58.0
178372,21.0,66.0,78.0,82.0,70.0,78.0,65.0,68.0,69.0,65.0,76.0
178224,22.0,78.0,54.0,48.0,70.0,53.0,80.0,77.0,82.0,78.0,57.0
177600,20.0,79.0,72.0,69.0,82.0,77.0,77.0,78.0,73.0,76.0,74.0
177457,19.0,75.0,81.0,82.0,79.0,82.0,73.0,75.0,73.0,72.0,81.0
177413,17.0,81.0,78.0,78.0,82.0,81.0,79.0,80.0,79.0,79.0,79.0
176600,18.0,82.0,61.0,53.0,76.0,61.0,82.0,81.0,82.0,81.0,64.0
174543,82.0,46.0,35.0,35.0,47.0,42.0,39.0,42.0,34.0,38.0,36.0
172723,82.0,31.0,29.0,30.0,30.0,31.0,29.0,32.0,30.0,29.0,30.0
171919,21.0,67.0,77.0,82.0,71.0,78.0,68.0,65.0,73.0,64.0,74.0
171833,20.0,80.0,51.0,46.0,72.0,53.0,81.0,78.0,82.0,79.0,54.0
169595,21.0,76.0,83.0,81.0,77.0,81.0,74.0,78.0,72.0,76.0,83.0
169416,20.0,82.0,55.0,46.0,74.0,56.0,81.0,82.0,80.0,82.0,59.0
168354,82.0,34.0,24.0,25.0,35.0,30.0,30.0,31.0,27.0,29.0,25.0
167431,21.0,81.0,78.0,73.0,82.0,79.0,79.0,80.0,74.0,80.0,79.0
165239,11.0,82.0,62.0,50.0,78.0,62.0,81.0,82.0,76.0,82.0,66.0
163824,19.0,60.0,74.0,82.0,67.0,78.0,57.0,59.0,59.0,55.0,71.0
163631,22.0,78.0,82.0,79.0,80.0,81.0,77.0,79.0,76.0,77.0,82.0
163489,82.0,31.0,27.0,26.0,31.0,28.0,28.0,28.0,25.0,27.0,27.0
162347,22.0,81.0,76.0,73.0,82.0,78.0,78.0,80.0,77.0,79.0,77.0
158121,82.0,30.0,28.0,28.0,31.0,29.0,28.0,29.0,27.0,28.0,28.0
157481,18.0,58.0,74.0,82.0,65.0,77.0,56.0,57.0,57.0,54.0,71.0
150724,82.0,35.0,30.0,29.0,34.0,32.0,34.0,34.0,35.0,32.0,31.0
150418,19.0,74.0,51.0,50.0,67.0,52.0,77.0,74.0,82.0,75.0,54.0
146760,21.0,75.0,82.0,79.0,76.0,79.0,73.0,78.0,71.0,75.0,82.0
144622,21.0,82.0,61.0,55.0,80.0,65.0,82.0,82.0,79.0,82.0,65.0
143745,20.0,82.0,72.0,70.0,81.0,74.0,81.0,82.0,78.0,81.0,74.0
135507,20.0,78.0,79.0,79.0,81.0,82.0,76.0,78.0,75.0,76.0,80.0
113422,19.0,82.0,57.0,50.0,75.0,59.0,82.0,80.0,82.0,81.0,61.0
108080,14.0,73.0,82.0,81.0,76.0,80.0,71.0,76.0,70.0,73.0,82.0
